"id","year","unit","topic","question_text","question_image","table_headers","option_a","option_b","option_c","option_d","option_e","correct_answer","tagged"
"2025-11","2025","Particles and Waves","Forces on Charged Particles","A proton enters a region of magnetic field as shown.<br><br>{{IMAGE}}<br>The direction of the force exerted by the magnetic field on the proton as it enters the field is","2025_Q11_Diagram.png","","Into page","Out of page","Left","Bottom","Right","E","1"
"2025-12","2025","Particles and Waves","Nuclear Reactions","The following statement represents a nuclear reaction.<br><br>$$ ^{A}_{Z}X \rightarrow ^{212}_{83}Bi + ^{4}_{2}He $$<br>\( X \) represents","","","Alpha particle","Beta particle","Neutrino","Neutron","Proton","A","1"
"2025-13","2025","Particles and Waves","Inverse Square Law","A small lamp is placed 0.40 m from a light meter in a darkened room.<br><br>{{IMAGE}}<br>The irradiance of the light from the lamp is measured using the light meter.<br><br>The irradiance at this distance is 20 mW m⁻².<br>The light meter is now moved until the irradiance is 80 mW m⁻².<br><br>The distance between the lamp and the light meter is now","2025_Q13_Diagram.png","","0.04 m","0.10 m","0.20 m","0.80 m","1.60 m","C","1"
"2025-14","2025","Particles and Waves","Wave-Particle Duality","A student sets up the following apparatus to investigate photoemission from a zinc plate.<br>[c]{{IMAGE}}[/c]<br>The reading on the ammeter can be increased by","2025_Q14_Diagram.png","","replacing the ultraviolet radiation with visible light","replacing the ultraviolet radiation with infrared radiation","decreasing the irradiance at the zinc plate","reversing the connections to the battery","allowing air into the glass tube.","D","1"
"2025-15","2025","Particles and Waves","Wave-Particle Duality","Ultraviolet radiation of wavelength 250 nm is incident on a metal surface.<br>The work function of the metal is 3.1 × 10⁻¹⁹ J.<br><br>The energy of each photon of the ultraviolet radiation is","","","1.7 × 10⁻⁴⁰ J","3.1 × 10⁻¹⁹ J","4.9 × 10⁻¹⁹ J","8.0 × 10⁻¹⁹ J","1.1 × 10⁻¹⁸ J","D","1"
"2025-16","2025","Particles and Waves","Interference","A student sets up the apparatus shown to produce an interference pattern.<br>\( S_1 \) and \( S_2 \) provide coherent sources of microwave radiation.<br><br>{{IMAGE}}<br>A radiation detector is moved along the line from \( P \) to \( Q \).<br><br>The first minimum is detected at point \( X \).<br>The distance from \( S_1 \) to \( X \) is 300 mm.<br>The distance from \( S_2 \) to \( X \) is 250 mm.<br><br>The second minimum is detected at \( Y \).<br><br>The path difference \( S_1Y - S_2Y \) is","2025_Q16_Diagram.png","","25 mm","75 mm","100 mm","150 mm","250 mm","D","1"
"2025-17","2025","Particles and Waves","Refraction of Light","A ray of monochromatic light passes from a glass block into air as shown.<br><br>{{IMAGE}}<br>The critical angle for the glass block is 37.0° for this light.<br><br>Angle \( X \) is","2025_Q17_Diagram.png","","22.8°","27.5°","30.7°","62.5°","67.2°","B","1"
"2025-18","2025","Particles and Waves","Refraction of Light","A ray of monochromatic light in air has speed \( c \), wavelength \( \lambda \), and frequency \( f \).<br><br>The ray of light passes from air into a substance. The refractive index of the substance is 2.0 for this light.<br><br>Which row in the table shows the speed, wavelength, and frequency of the light in the substance?","","Speed | Wavelength | Frequency","c | λ | f","c | 2λ | 0.5f","0.5c | 2λ | f","0.5c | 0.5λ | 0.5f","0.5c | 0.5λ | f","E","1"
"2025-19","2025","Electricity","P,V,I,R","A circuit is set up as shown.<br><br>{{IMAGE}}<br>The total resistance between \( X \) and \( Y \) is","2025_Q19_Diagram.png","","1.1 Ω","1.7 Ω","4.6 Ω","5.6 Ω","14 Ω","D","1"
"2025-20","2025","Electricity","P,V,I,R","In the circuits shown below, the lamps are identical. The power supply has negligible internal resistance.<br><br>In which circuit is the greatest power dissipated in the lamp?","","","[IMG]2025_Q20_A.png","[IMG]2025_Q20_B.png","[IMG]2025_Q20_C.png","[IMG]2025_Q20_D.png","[IMG]2025_Q20_E.png","A","1"
"2025-21","2025","Electricity","Electrical Sources and Internal Resistance","A 7.0 Ω resistor is connected to a cell as shown.<br><br>{{IMAGE}}<br>The internal resistance of the cell is 3.0 Ω.<br><br>The switch is now closed.<br>The reading on the ammeter is 0.15 A.<br><br>Which row in the table shows the EMF of the cell and the reading on the voltmeter?","2025_Q21_Diagram.png","EMF (V) | Reading on voltmeter (V)","0.45 | 1.05","1.05 | 0.45","0.60 | 0.45","1.50 | 1.05","1.50 | 0.45","D","1"
"2025-22","2025","Electricity","Electrical Sources and Internal Resistance","A battery has an EMF of 12 V and an internal resistance of 0.40 Ω.<br>Two identical resistors each of resistance \( R \) are connected to the battery as shown.<br><br>{{IMAGE}}<br>The reading on the ammeter is 4.0 A.<br><br>The resistance \( R \) is","2025_Q22_Diagram.png","","0.77 Ω","2.6 Ω","3.0 Ω","3.4 Ω","5.2 Ω","E","1"
"2025-23","2025","Electricity","Semiconductors and p-n Junctions","A student makes the following statements about red and blue LEDs.<br><br>[s]I The gap between the valence band and the conduction band is larger for red LEDs than blue LEDs.<br>II Red LEDs emit photons of longer wavelength than blue LEDs.<br>III The potential difference across an LED determines the wavelength of the photons emitted.[/s]<br>Which of these statements is/are correct?","","","I only","II only","I and II only","I and III only","I, II and III","B","1"
"2025-24","2025","Other","Uncertainties","A student measures the acceleration of a toy car down a slope.<br>The experiment is repeated and the following values for the acceleration are recorded.<br><br>[c]0.28 m s⁻² 0.29 m s⁻² 0.34 m s⁻² 0.30 m s⁻² 0.29 m s⁻²[/c]<br>Which row in the table shows the mean value of the acceleration and the approximate random uncertainty in the mean value of the acceleration?","","Mean value of the acceleration (m s⁻²) | Approximate random uncertainty (m s⁻²)","0.29 | 0.01","0.29 | 0.06","0.30 | 0.01","0.30 | 0.06","0.34 | 0.06","C","1"
"2025-25","2025","Other","Skills","A black hole can be formed from a star which has become so massive it collapses under its own gravitational force. The radius \( r \) of a black hole is calculated using the relationship shown.<br>$$ r = \frac{2GM}{c^2} $$<br>Where:<br>\( G \) is the Universal Constant of Gravitation<br>\( M \) is the mass of the star<br>\( c \) is the speed of light<br><br>A star of mass 1.99 × 10³¹ kg collapses to form a black hole.<br><br>The radius of this black hole is","","","7.37 × 10³ m","1.47 × 10⁴ m","2.95 × 10⁴ m","8.85 × 10¹² m","4.33 × 10¹⁵ m","C","1"
"2024-01","2024","Our Dynamic Universe","Motion: Equations & Graphs","A cyclist travelling along a straight track accelerates at 1.2 m s⁻². The speed of the cyclist increases from 4.0 m s⁻¹ to 7.5 m s⁻¹.<br><br>The distance travelled by the cyclist during this acceleration is","","","1.5 m","17 m","20 m","30 m","34 m","B","1"
"2024-02","2024","Our Dynamic Universe","Motion: Equations & Graphs","A ball is thrown vertically upwards and returns to its original position.<br><br>Neglecting air resistance, which displacement-time \( (s\)-\(t) \) graph represents its motion?","","","[IMG]2024_Q02_A.png","[IMG]2024_Q02_B.png","[IMG]2024_Q02_C.png","[IMG]2024_Q02_D.png","[IMG]2024_Q02_E.png","A","1"
"2024-03","2024","Our Dynamic Universe","Forces, Energy & Power","A box is suspended from a ceiling by a rope. A horizontal force \( F \) is acting on the box.<br>The box is held stationary as shown.<br><br>{{IMAGE}}<br>The weight of the box is 4.9 N.<br><br>The tension \( T \) in the rope is","2024_Q03_Diagram.png","","1.7 N","4.6 N","4.9 N","5.2 N","14 N","D","1"
"2024-04","2024","Our Dynamic Universe","Motion: Equations & Graphs","A ball is thrown horizontally over the edge of a cliff.<br><br>A group of students draw three velocity-time \( (v\)-\(t) \) graphs to represent the motion of the ball, when air resistance is taken into account.<br><br>{{IMAGE}}<br>Which row in the table shows the graphs that represent the horizontal component of the velocity and the vertical component of the velocity?","2024_Q04_Diagram.png","Horizontal component of the velocity | Vertical component of the velocity","graph X | graph Y","graph X | graph Z","graph Y | graph X","graph Y | graph Z","graph Z | graph X","A","1"
"2024-05","2024","Our Dynamic Universe","Forces, Energy & Power","In a hydroelectric power station water flows from a reservoir through turbines at a rate of 4.5 × 10⁶ kg per minute.<br><br>The reservoir is 150 m above the turbines.<br><br>The total power delivered by the water in falling from the reservoir to the turbines is","","","3.0 × 10⁴ W","7.5 × 10⁴ W","1.1 × 10⁸ W","6.6 × 10⁹ W","4.0 × 10¹² W","C","1"
"2024-06","2024","Our Dynamic Universe","Collisions, Explosions & Impulse","Two trolleys move along a level bench as shown.<br><br>{{IMAGE}}<br>The trolleys collide and stick together. They continue to move along the bench.<br><br>The velocity of the trolleys immediately after the collision is","2024_Q06_Diagram.png","","0.50 m s⁻¹","1.3 m s⁻¹","2.0 m s⁻¹","2.7 m s⁻¹","8.0 m s⁻¹","C","1"
"2024-07","2024","Our Dynamic Universe","Special Relativity","A spacecraft is travelling at a speed of 0.20 \( c \) relative to the Earth. The spacecraft emits a signal for 20.0 s as measured in the frame of reference of the spacecraft.<br><br>An observer on Earth measures the duration of the signal as","","","19.2 s","19.6 s","20.0 s","20.4 s","20.8 s","D","1"
"2024-08","2024","Our Dynamic Universe","Special Relativity","The Queensferry Crossing has a length of 2700 m as measured by a stationary observer on Earth.<br>A spaceship travels past Earth at a constant speed of 1.80 × 10⁸ m s⁻¹ relative to Earth.<br><br>The length of the Queensferry Crossing as measured by an observer on the spaceship is","","","1100 m","1700 m","2200 m","3400 m","4300 m","C","1"
"2024-09","2024","Our Dynamic Universe","The Expanding Universe","The graph shows how the energy emitted per second per unit area varies with the wavelength of the radiation for four stars \( W, X, Y, \) and \( Z \).<br><br>{{IMAGE}}<br>A student makes the following statements based on the information shown in the graph:<br>[s]I Star \( Z \) is hotter than star \( W \).<br>II The peak frequency of radiation emitted is greatest for star \( W \).<br>III Star \( Y \) emits more energy per second per unit area than star \( X \).[/s]<br>Which of the statements is/are correct?","2024_Q09_Diagram.png","","I only","II only","III only","I and III only","I, II and III","D","1"
"2024-10","2024","Particles and Waves","The Standard Model","Which of the following particles is a fermion?","","","W-boson","Z-boson","Photon","Gluon","Muon","E","1"
"2024-11","2024","Particles and Waves","The Standard Model","The following statement represents beta decay:<br><br>$$ ^{1}_{0}n \rightarrow ^{1}_{1}p + ^{\,0}_{-1}e + \bar{\nu} $$<br>Beta decay provided the first evidence for the existence of the","","","quark","neutrino","electron","proton","neutron","B","1"
"2024-12","2024","Particles and Waves","Nuclear Reactions","Uranium-239 \( (^{239}_{92}U) \) undergoes decay by emitting a beta particle. The nucleus formed as a result of this decay also undergoes decay by emitting a beta particle to form nucleus \( X \).<br><br>Nucleus \( X \) is","","","\( ^{231}_{88}Ra \)","\( ^{235}_{90}Th \)","\( ^{239}_{90}Th \)","\( ^{239}_{93}Np \)","\( ^{239}_{94}Pu \)","E","1"
"2024-13","2024","Particles and Waves","Nuclear Reactions","The following statement represents a nuclear reaction:<br><br>$$ ^{12}_{\ 6}C + ^{4}_{2}He \rightarrow ^{16}_{\ 8}O + \gamma $$<br>The total mass of the particles before the reaction is 26.572 × 10⁻²⁷ kg.<br>The total mass of the particles after the reaction is 26.560 × 10⁻²⁷ kg.<br><br>The energy released in this reaction is","","","1.20 × 10⁻²⁹ J","3.60 × 10⁻²¹ J","5.40 × 10⁻¹³ J","1.08 × 10⁻¹² J","2.39 × 10⁻⁹ J","D","1"
"2024-14","2024","Particles and Waves","Inverse Square Law","A student carries out an experiment to investigate how irradiance of light varies with distance.<br><br>A small lamp is placed at a distance \( d \) from a light meter. The irradiance \( I \) at this distance is displayed on the light meter. This measurement is repeated for a range of different distances.<br><br>The student uses these results to plot the graph shown.<br><br>{{IMAGE}}<br>The graph indicates that there is a systematic uncertainty in the experiment.<br><br>Which of the following alterations would be most likely to reduce the systematic uncertainty in this experiment?","2024_Q14_Diagram.png","","Repeating the experiment in a darkened room","Repeating the readings at each distance and calculating averages","Decreasing the brightness of the lamp","Replacing the small lamp with a larger lamp","Increasing the range of distances","A","1"
"2024-15","2024","Particles and Waves","Interference","A group of students make the following statements about coherent waves:<br>[s]I Coherent waves have a constant phase relationship.<br>II Coherent waves have the same frequency.<br>III Coherent waves have the same speed.[/s]<br>Which of the statements is/are correct?","","","I only","III only","I and II only","II and III only","I, II and III","E","1"
"2024-16","2024","Particles and Waves","Spectra","Dark lines in an absorption spectrum occur because","","","photons move from higher to lower energy levels emitting electrons","photons move from lower to higher energy levels by absorbing electrons","electrons move from lower to higher energy levels emitting photons","electrons move from higher to lower energy levels emitting photons","electrons move from lower to higher energy levels by absorbing photons","E","1"
"2024-17","2024","Particles and Waves","Refraction of Light","A ray of monochromatic light passes from air into diamond. The frequency of the light in air is 5.09 × 10¹⁴ Hz.<br><br>The speed of this light in diamond is","","","1.40 × 10² m s⁻¹","1.70 × 10⁶ m s⁻¹","1.24 × 10⁸ m s⁻¹","3.00 × 10⁸ m s⁻¹","7.26 × 10⁸ m s⁻¹","C","1"
"2024-18","2024","Electricity","P,V,I,R","A circuit is set up as shown.<br><br>{{IMAGE}}<br>The power supply has negligible internal resistance.<br><br>The potential difference across the 60 Ω resistor is","2024_Q18_Diagram.png","","1.0 V","2.0 V","5.5 V","6.5 V","10 V","E","1"
"2024-19","2024","Electricity","P,V,I,R","A resistor of resistance 2.2 kΩ is rated at 0.25 W.<br><br>The potential difference across the resistor when operating at its rated power is","","","0.11 V","23 V","94 V","550 V","8800 V","B","1"
"2024-20","2024","Electricity","Electrical Sources and Internal Resistance","A circuit is set up as shown.<br><br>{{IMAGE}}<br><br>The resistance of the variable resistor is changed and the corresponding readings on the ammeter and voltmeter are used to produce the graph shown.<br><br>A student makes the following statements based on this information:<br>[s]I The EMF of the battery is 12 V.<br>II The internal resistance of the battery is 10 Ω.<br>III The short circuit current is 1.2 A.[/s]<br>Which of these statements is/are correct?","2024_Q20_Diagram.png","","I only","II only","III only","I and II only","I, II and III","B","1"
"2024-21","2024","Electricity","Capacitors","A capacitor is initially uncharged.<br><br>The capacitor is now charged for 20 s using a supply that provides a constant current of 0.10 mA.<br>The potential difference across the capacitor is now 12 V.<br><br>The energy stored in the capacitor is","","","0.06 mJ","12.0 mJ","14.4 mJ","24.0 mJ","28.8 mJ","B","1"
"2024-22","2024","Electricity","Capacitors","A circuit is set up as shown.<br><br>{{IMAGE}}<br>The capacitor is initially uncharged.<br><br>Switch S is now closed and the capacitor charges. The graph shows how the charging current \( I \) in the circuit varies with time \( t \).<br><br>The capacitor is now replaced with an uncharged capacitor of greater capacitance.<br>The same charging process is repeated with this capacitor.<br><br>Which graph shows how the current \( I \) varies with time \( t \) as this capacitor charges?","2024_Q22_Diagram.png","","[IMG]2024_Q22_A.png","[IMG]2024_Q22_B.png","[IMG]2024_Q22_C.png","[IMG]2024_Q22_D.png","[IMG]2024_Q22_E.png","C","1"
"2024-23","2024","Electricity","Semiconductors and p-n Junctions","Solids can be categorised as conductors, insulators, or semiconductors.<br>The diagrams show the valence band and conduction bands of three solids \( X, Y, \) and \( Z \).<br><br>{{IMAGE}}<br>Which row in the table shows the letters that represent a conductor, an insulator, and a semiconductor?","2024_Q23_Diagram.png","Conductor | Insulator | Semiconductor","X | Y | Z","Z | X | Y","Y | Z | X","X | Z | Y","Z | Y | X","D","1"
"2024-24","2024","Electricity","Semiconductors and p-n Junctions","An increase in the temperature of a semiconductor","","","increases its conductivity by allowing more electrons to reach the conduction band","increases its conductivity by increasing the band gap between the valence band and the conduction band","decreases its conductivity by allowing more electrons to reach the conduction band","decreases its conductivity by allowing fewer electrons to reach the conduction band","has no effect on its conductivity","A","1"
"2024-25","2024","Electricity","Semiconductors and p-n Junctions","A student connects four identical red light emitting diodes (LEDs) to a 2 V rms AC supply as shown.<br><br>{{IMAGE}}<br><br>Which of the LEDs \( P, Q, R, \) and \( S \) will emit light?","2024_Q25_Diagram.png","","P only","Q only","P and Q only","P and R only","Q and S only","C","1"
"2023-01","2023","Our Dynamic Universe","Motion: Equations & Graphs","A cyclist is travelling along a straight, level road.<br>A velocity-time \( (v \)-\( t) \) graph of the motion of the cyclist is shown.<br>[c]{{IMAGE}}[/c]<br>Which pair of displacement-time \( (s \)-\(t) \) and acceleration-time \( (a \)-\(t) \) graphs represent the motion of the cyclist?","2023_Q01_Diagram.png","","[IMG]2023_Q01_A.png","[IMG]2023_Q01_B.png","[IMG]2023_Q01_C.png","[IMG]2023_Q01_D.png","[IMG]2023_Q01_E.png","A","1"
"2023-02","2023","Our Dynamic Universe","Motion: Equations & Graphs","A hot air balloon is moving vertically. At a height of 50 m a sandbag is released. The sandbag takes 3.0 s to reach the ground.<br><br>The effects of air resistance can be ignored.<br><br>The initial velocity of the sandbag on release is","","","2.0 m s⁻¹ upwards","2.0 m s⁻¹ downwards","17 m s⁻¹ upwards","17 m s⁻¹ downwards","31 m s⁻¹ upwards","B","1"
"2023-03","2023","Our Dynamic Universe","Collisions, Explosions & Impulse","The momentum of an object of mass 4 kg is 20 kg m s⁻¹.<br><br>The kinetic energy of the object is","","","10 J","50 J","100 J","400 J","800 J","B","1"
"2023-04","2023","Our Dynamic Universe","Forces, Energy & Power","A pendulum bob of mass \( m \) is released from rest at height \( h \).<br>The bob reaches a speed \( v \) at the lowest point of its swing.<br>[c]{{IMAGE}}[/c]<br>Neglecting air resistance, the speed of the bob at its lowest point is doubled by","2023_Q04_Diagram.png","","changing the height to \( 4h \)","changing the height to \( 2h \)","changing the height to \( \frac{h}{2} \)","changing the mass of the bob to \( 2m \)","changing the mass of the bob to \( \frac{m}{2} \)","A","1"
"2023-05","2023","Our Dynamic Universe","Gravitation","A golfer strikes a golf ball as shown.<br>[c]{{IMAGE}}[/c]<br>The ball leaves the club with an initial velocity of 74 m s⁻¹ at an angle of 31° to the horizontal.<br><br>Which row in the table shows the horizontal and vertical components of the initial velocity of the golf ball?","2023_Q05_Diagram.png","Horizontal component of the initial velocity of the golf ball (m s⁻¹) | Vertical component of the initial velocity of the golf ball (m s⁻¹)","38 | 44","38 | 63","44 | 38","63 | 38","63 | 44","D","1"
"2023-06","2023","Our Dynamic Universe","Gravitation","A satellite of mass 620 kg is placed into an Earth orbit of radius 23 000 km.<br>The mass of the Earth is 6.0 × 10²⁴ kg.<br><br>The gravitational force that the satellite experiences from the Earth in this orbit is","","","4.7 × 10² N","4.7 × 10⁸ N","1.1 × 10¹⁰ N","1.1 × 10¹³ N","6.9 × 10¹³ N","A","1"
"2023-07","2023","Our Dynamic Universe","Special Relativity","Muons are created in the upper atmosphere of the Earth.<br><br>The mean lifetime of these muons in their frame of reference is 2.20 μs. The muons are travelling at 0.99\( c \) relative to an observer on Earth.<br><br>The observer measures the mean lifetime of these muons as","","","1.56 × 10⁻² s","2.20 × 10⁻³ s","1.11 × 10⁻⁴ s","1.56 × 10⁻⁵ s","3.10 × 10⁻⁷ s","D","1"
"2023-08","2023","Our Dynamic Universe","The Expanding Universe","Evidence supporting the existence of dark energy comes from","","","estimations of the mass of galaxies","the darkness of the sky (Olbers' paradox)","large numbers of galaxies showing redshift rather than blueshift","the accelerating rate of expansion of the Universe","the abundance of the elements hydrogen and helium in the Universe","D","1"
"2023-09","2023","Our Dynamic Universe","The Expanding Universe","A student makes the following statements about the emitted radiation from stellar objects.<br>[s]<br>I The peak wavelength of emitted radiation is longer for hotter objects than for cooler objects.<br>II A 'blue' star is likely to be hotter than a 'red' star.<br>III The radiation emitted per unit surface area per unit time is greater for hotter objects.[/s]<br>Which of these statements is/are correct?","","","I only","II only","III only","I and III only","II and III only","E","1"
"2023-10","2023","Particles and Waves","Forces on Charged Particles","Which of the following diagrams represents the electric field pattern between two identical positively charged particles?","","","[IMG]2023_Q10_A.png","[IMG]2023_Q10_B.png","[IMG]2023_Q10_C.png","[IMG]2023_Q10_D.png","[IMG]2023_Q10_E.png","B","1"
"2023-11","2023","Particles and Waves","The Standard Model","A neutron consists of one up quark and two down quarks.<br><br>A neutron is a","","","gluon","meson","baryon","lepton","boson","C","1"
"2023-12","2023","Particles and Waves","Nuclear Reactions","The following statement represents a nuclear fusion reaction.<br>[c]$$ {}_{1}^{3}H + {}_{1}^{2}H \rightarrow {}_{2}^{4}He + {}_{0}^{1}n $$[/c]The total mass of the particles before the reaction is 8.347 × 10⁻²⁷ kg.<br>The total mass of the particles after the reaction is 8.317 × 10⁻²⁷ kg.<br><br>The energy released in this reaction is","","","3.0 × 10⁻²⁹ J","9.0 × 10⁻²¹ J","1.4 × 10⁻¹² J","2.7 × 10⁻¹² J","7.5 × 10⁻¹⁰ J","D","1"
"2023-13","2023","Particles and Waves","Wave-Particle Duality","A student makes the following statements about wave particle duality.<br>[s]<br>I The photoelectric effect is evidence supporting the particle model of light.<br>II Interference is evidence supporting the wave model of light.<br>III Photons of sufficient energy can eject electrons from the surface of metals.[/s]<br>Which of these statements is/are correct?","","","I only","II only","III only","I and III only","I, II and III","E","1"
"2023-14","2023","Particles and Waves","Wave-Particle Duality","Electromagnetic radiation of frequency 9.0 × 10¹⁴ Hz is incident on a clean, negatively charged metal surface.<br>The work function of the metal is 6.1 × 10⁻¹⁹ J.<br>There is no photoelectric emission from this metal caused by this radiation.<br><br>This is explained by the fact that","","","photoemission can only occur from a positively charged metal surface","the wavelength of the incident radiation is too short","the frequency of the incident radiation is less than the threshold frequency of this metal","the work function of the metal is less than the energy of the incident photons","the number of photons per second incident on the surface of the metal is too low","C","1"
"2023-15","2023","Particles and Waves","Interference","A ray of monochromatic light is incident on a grating. An interference pattern is observed on the screen.<br>[c]{{IMAGE}}[/c]<br>The angle between the central maximum and the maximum observed at the edge of the screen is 29°.<br>The wavelength of the light is 605 nm.<br>The separation of the slits on the grating is 5.0 × 10⁻⁶ m.<br><br>The total number of maxima observed on the screen is","2023_Q15_Diagram.png","","4","7","8","9","15","D","1"
"2023-16","2023","Particles and Waves","Interference","Waves from coherent sources, \( S₁ \) and \( S₂ \), produce an interference pattern.<br>Maxima are detected at the positions shown.<br>[c]{{IMAGE}}[/c]<br>The path difference \( S₁K - S₂K \)  is 154 mm.<br><br>The wavelength of the waves is","2023_Q16_Diagram.png","","14.0 mm","15.4 mm","25.7 mm","28.0 mm","30.8 mm","E","1"
"2023-17","2023","Particles and Waves","Spectra","Which graph shows the relationship between frequency \( f \) and wavelength \( \lambda \) of photons of electromagnetic radiation?","","","[IMG]2023_Q17_A.png","[IMG]2023_Q17_B.png","[IMG]2023_Q17_C.png","[IMG]2023_Q17_D.png","[IMG]2023_Q17_E.png","A","1"
"2023-18","2023","Particles and Waves","Refraction of Light","A ray of monochromatic light travels from a crown glass block into water.<br>The diagram shows three paths P, Q, and R for the ray of light in the water.<br>[c]{{IMAGE}}[/c]<br>Which row in the table shows what happens to the speed and the wavelength, and the path the ray of light follows in the water?","2023_Q18_Diagram.png","Speed | Wavelength | Path","decreases | decreases | R","decreases | decreases | P","stays the same | stays the same | Q","increases | increases | R","increases | increases | P","E","1"
"2023-19","2023","Electricity","Monitoring and Measuring AC","An AC power supply of negligible internal resistance is connected to an 8.0 Ω resistor. The rms voltage of the power supply is 5.0 V.<br><br>The peak power dissipated in the 8.0 Ω resistor is","","","0.44 W","0.63 W","1.4 W","3.1 W","6.3 W","E","1"
"2023-20","2023","Electricity","P,V,I,R","Six 36 Ω resistors are connected as shown.<br>[c]{{IMAGE}}[/c]<br>The total resistance between points X and Y is","2023_Q20_Diagram.png","","6.0 Ω","8.0 Ω","12 Ω","18 Ω","24 Ω","C","1"
"2023-21","2023","Electricity","Electrical Sources and Internal Resistance","A student carries out an experiment to determine the EMF and internal resistance of a battery using the circuit shown.<br>[c]{{IMAGE}}[/c]The resistance of the variable resistor is altered and readings of voltage \( V \) and current \( I \) are taken.<br>These readings are used to produce the graph shown.<br><br>Which row in the table shows the EMF and internal resistance of the battery?","2023_Q21_Diagram.png","EMF (V) | Internal resistance (Ω)","2.0 | 6.0","5.0 | 0.50","5.0 | 2.0","6.0 | 0.50","6.0 | 2.0","E","1"
